ICAO,IATA,Name,Country
BWA,BW,Caribbean Airlines,Trinidad and Tobago
KRP,V3,Carpatair,Romania
CPN,RV,Caspian Airlines,Iran
CPA,CX,Cathay Pacific,Hong Kong SAR of China
CAY,KX,Cayman Airways,Cayman Islands
CEB,5J,Cebu Pacific,Philippines
CCG,,Central Connect Airlines,Czech Republic
CLW,C0,Centralwings,Poland
CHW,,Charter Air,Austria
CHQ,RP,Chautauqua Airlines,United States
CAL,CI,China Airlines,Taiwan
CES,MU,China Eastern Airlines,China
CSN,CZ,China Southern Airlines,China
CUA,HR,China United Airlines,China
CYH,3Q,Yunnan Airlines,China
CIM,QI,Cimber Air,Denmark
RUS,C9,Cirrus Airlines,Germany
SDR,CF,City Airline,Sweden
CIX,G3,City Connexion Airlines,Burundi
BCY,WX,CityJet,Ireland
CFE,CJ,BA CityFlyer,United Kingdom
CGK,,Click Airways,Kyrgyzstan
CJC,9L,Colgan Air,United States
COM,OH,Comair,United States
CAW,MN,Comair,South Africa
UCA,C5,CommutAir,United States
CWK,KR,Comores Airlines,Comoros
CPZ,CP,Compass Airlines,United States
CFG,DE,Condor Flugdienst,Germany
CHP,6A,Consorcio Aviaxsa,Mexico
KIS,C3,Contact Air,Germany
COA,CO,Continental Airlines,United States
CMI,CS,Continental Micronesia,United States
VCV,V0,Conviasa,Venezuela
CMP,CM,Copa Airlines,Panama
AAQ,,Copterline,Finland
CAI,,Corendon Airlines,Turkey
CRL,SS,Corsairfly,France
CCM,XK,Corse-Mediterranee,France
CAN,,Crest Aviation,United Kingdom
CTN,OU,Croatia Airlines,Croatia
CRO,,Crown Airways,United States
CUB,CU,Cubana de Aviación,Cuba
CYP,CY,Cyprus Airways,Cyprus
CSA,OK,Czech Airlines,Czech Republic
DTR,DX,DAT Danish Air Transport,Denmark
DAO,D3,Daallo Airlines,Djibouti
KHB,H8,Dalavia,Russia
DWT,0D,Darwin Airline,Switzerland
DEA,,Delta Aerotaxi,Italy
DAL,DL,Delta Air Lines,United States
DNM,,Denim Air,Netherlands
DJB,D8,Djibouti Airlines,Djibouti
UDN,,Dniproavia,Ukraine
DOA,DO,Dominicana de Aviaci,Dominican Republic
DMO,E3,Domodedovo Airlines,Russia
UDC,5D,DonbassAero,Ukraine
HDA,KA,Dragonair,DRAGON
DRK,KB,Druk Air,Bhutan
DBK,,Dubrovnik Air,Croatia
DNL,,Dutch Antilles Express,Netherlands Antilles
BAG,DI,dba,Germany
EVA,BR,EVA Air,Taiwan
UGX,QU,East African,Uganda
EZE,T3,Eastern Airways,United Kingdom
ELA,DK,Eastland Air,Australia
ECU,,Ecuavia,Ecuador
EDW,WK,Edelweiss Air,Switzerland
MSR,MS,Egyptair,Egypt
ELY,LY,El Al Israel Airlines,Israel
BRQ,UZ,El-Buraq Air Transport,Libya
UAE,EK,Emirates,United Arab Emirates
EEA,EU,Empresa Ecuatoriana De Aviacion,Ecuador
ERT,B8,Eritrean Airlines,Eritrea
ELL,OV,Estonian Air,Estonia
ETH,ET,Ethiopian Airlines,Ethiopia
ETD,EY,Etihad Airways,United Arab Emirates
ECA,UI,Eurocypria Airlines,Cyprus
EEU,GJ,Eurofly Service,Italy
ELO,K2,Eurolot,Poland
EAL,EA,European Air Express,Germany
EWG,EW,Eurowings,Germany
EIA,EZ,Evergreen International Airlines,United States
XLA,JN,Excel Airways,United Kingdom
XEL,,Excel Charter,United Kingdom
LHN,EO,Express One International,United States
BTA,XE,ExpressJet,United States
EZY,U2,easyJet,United Kingdom
EFA,EF,Far Eastern Air Transport,Taiwan
FIN,AY,Finnair,Finland
WBA,FC,Finncomm Airlines,Finland
FFM,FY,Firefly,Malaysia
FAB,7F,First Air,Canada
FCA,DP,First Choice Airways,United Kingdom
FLT,B5,Flightline,United Kingdom
FWL,RF,Florida West International Airways,United States
XAX,D7,AirAsia X,Malaysia
LIL,TE,FlyLal,Lithuania
NDC,LF,FlyNordic,Sweden
BBO,F7,Flybaboo,Switzerland
BEE,BE,Flybe,United Kingdom
GSM,B4,Flyglobespan,United Kingdom
FYH,,Flyhy Cargo Airlines,Thailand
FOS,VY,Formosa Airlines,Taiwan
FRE,FP,Freedom Air,United States
FRL,,Freedom Airlines,United States
FFT,F9,Frontier Airlines,United States
FTA,2F,Frontier Flying Service,United States
GBL,GT,GB Airways,United Kingdom
GIA,GA,Garuda Indonesia,Indonesia
GZP,4G,Gazpromavia,Russia
TGZ,A9,Georgian Airways,Georgia
GFG,QB,Georgian National Airlines,Georgia
GMI,ST,Germania,Germany
GWI,4U,Germanwings,Germany
GHB,G0,Ghana International Airlines,Ghana
GOW,G8,Go Air,India
GJS,G7,GoJet Airlines,United States
GLO,G3,Gol Transportes Aéreos,Brazil
GAO,DC,Golden Air,Sweden
GLA,ZK,Great Lakes Airlines,United States
TAT,TA,Grupo TACA,Costa Rica
GFA,,Gulf Air,Oman
GBA,GF,Gulf Air Bahrain,Bahrain
GFT,,Gulfstream International Airlines,United States
HAG,H6,Hageland Aviation Services,United States
CHH,HU,Hainan Airlines,China
HAM,2T,Haiti Ambassador Airlines,Haiti
HHI,4R,Hamburg International,Germany
HLX,X3,TUIfly,Germany
HLF,HF,Hapagfly,Germany
HAL,HA,Hawaiian Airlines,United States
HFR,8H,Heli France,France
JBA,JB,Helijet,Canada
HEJ,T4,Hellas Jet,Greece
FHE,HW,Hello,Switzerland
OAW,2L,Helvetic Airways,Switzerland
HER,UD,Hex'Air,France
HWY,,Highland Airways,United Kingdom
ADO,HD,Hokkaido International Airlines,Japan
CRK,HX,Hong Kong Airlines,Hong Kong SAR of China
HKE,UO,Hong Kong Express Airways,Hong Kong SAR of China
QXE,QX,Horizon Air,United States
HZA,BN,Horizon Airlines,Australia
IBE,IB,Iberia Airlines,Spain
IWD,TY,Iberworld,Spain
IBX,FW,Ibex Airlines,Japan
RAC,,Icar Air,Bosnia and Herzegovina
ICE,FI,Icelandair,Iceland
ITX,IK,Imair Airlines,Azerbaijan
IGO,6E,IndiGo Airlines,India
IAC,IC,Indian Airlines,India
IBU,I9,Indigo,United States
AWQ,QZ,Indonesia AirAsia,Indonesia
IAA,IO,Indonesian Airlines,Indonesia
ILN,D6,Interair South Africa,South Africa
SUW,ZA,Interavia Airlines,Russia
ITK,ID,Interlink Airlines,South Africa
ISK,3L,Intersky,Austria
IRA,IR,Iran Air,Iran
IRC,EP,Iran Aseman Airlines,Iran
IAW,IA,Iraqi Airways,Iraq
CGP,8L,Cargo Plus Aviation,United Arab Emirates
ISW,IF,Islas Airways,Spain
ISV,WC,Islena De Inversiones,Honduras
ISR,6H,Israir,Israel
IKA,GI,Itek Air,Kyrgyzstan
JEX,JC,JAL Express,Japan
JAZ,JO,JALways,Japan
JAL,JL,Japan Airlines,Japan
JAL,JL,Japan Airlines Domestic,Japan
JAA,EG,Japan Asia Airways,Japan
JTA,NU,Japan Transocean Air,Japan
JZR,J9,Jazeera Airways,Kuwait
JJA,7C,Jeju Air,Republic of Korea
JAI,9W,Jet Airways,India
JSA,3K,Jetstar Asia Airways,Singapore
EXS,LS,Jet2.com,United Kingdom
JFU,8J,Jet4You,Morocco
JBU,B6,JetBlue Airways,United States
JAF,JF,Jetairfly,Belgium
JEF,,Jetflite,Finland
JST,JQ,Jetstar Airways,Australia
DKH,HO,Juneyao Airlines,China
KNI,KD,KD Avia,Russia
KLC,WA,KLM Cityhopper,Netherlands
KLM,KL,KLM Royal Dutch Airlines,Netherlands
KMF,RQ,Kam Air,Afghanistan
MVD,KV,Kavminvodyavia,Russia
KDA,,Kendell Airlines,Australia
KEN,M5,Kenmore Air,United States
KQA,KQ,Kenya Airways,Kenya
KFR,IT,Kingfisher Airlines,India
IRK,Y9,Kish Air,Iran
KGL,7K,Kogalymavia Air Company,Russia
KAL,KE,Korean Air,Republic of Korea
KSM,,Kosmos,Russia
KJC,7B,Krasnojarsky Airlines,Russia
KIL,GW,Kuban Airlines,Russia
KAC,KU,Kuwait Airways,Kuwait
KZU,GO,Kuzu Airlines Cargo,Turkey
LRC,LR,LACSA,Costa Rica
LAN,LA,LAN Airlines,Chile
DSM,4M,LAN Argentina,Argentina
LXP,LU,LAN Express,Chile
LPE,LP,LAN Peru,Peru
LOT,LO,LOT Polish Airlines,Poland
LTE,XO,LTE International Airways,Spain
LTO,L3,LTU Austria,Austria
LAO,QV,Lao Airlines,Lao Peoples Democratic Republic
LTC,,LatCharter,Latvia
LDA,NG,Lauda Air,Austria
LIA,LI,Leeward Islands Air Transport,Antigua and Barbuda
LAA,LN,Libyan Arab Airlines,Libya
LAM,LM,Linhas A,Mozambique
LNI,JT,Lion Mentari Airlines,Indonesia
LGW,HE,Luftfahrtgesellschaft Walter,Germany
DLH,LH,Lufthansa,Germany
GEC,LH,Lufthansa Cargo,Germany
CLH,CL,Lufthansa CityLine,Germany
LTR,L5,Lufttransport,Norway
LGL,LG,Luxair,Luxembourg
LPR,MJ,L,Argentina
MAA,M7,MasAir,Mexico
MAK,IN,MAT Macedonian Airlines,Macedonia
MGL,OM,MIAT Mongolian Airlines,Mongolia
MNB,MB,MNG Airlines,Turkey
MCK,CC,Macair Airlines,Australia
IRM,W5,Mahan Air,Iran
MAS,MH,Malaysia Airlines,Malaysia
SCW,,Malmo Aviation,Sweden
SCW,TF,Malmö Aviation,Sweden
MAC,R5,Malta Air Charter,Malta
MAH,MA,Malév,Hungary
MDL,RI,Mandala Airlines,Indonesia
MDA,AE,Mandarin Airlines,Taiwan
MNO,JE,Mango,South Africa
MPH,MP,Martinair,Netherlands
MXL,8M,Maxair,Sweden
MYD,MW,Maya Island Air,Belize
ISS,IG,Meridiana,Italy
MNA,MZ,Merpati Nusantara Airlines,Indonesia
ASH,YV,Mesa Airlines,United States
MES,XJ,Mesaba Airlines,United States
MXA,MX,Mexicana de Aviaci,Mexico
MEA,ME,Middle East Airlines,Lebanon
MDW,JI,Midway Airlines,United States
MEP,YX,Midwest Airlines,United States
MWA,MY,Midwest Airlines (Egypt),Egypt
MDV,2M,Moldavian Airlines,Moldova
MON,ZB,Monarch Airlines,United Kingdom
MGX,YM,Montenegro Airlines,Montenegro
MAL,,Morningstar Air Express,Canada
GAI,3R,Moskovia Airlines,Russia
MSI,M9,Motor Sich,Ukraine
MYT,VZ,MyTravel Airways,United Kingdom
UBA,UB,Myanma Airways,Myanmar
MMM,8M,Myanmar Airways International,Myanmar
MYA,,Myflug,Iceland
NAS,UE,Nasair,Eritrea
NJS,NC,National Jet Systems,Australia
NTW,CE,Nationwide Airlines,South Africa
RON,ON,Nauru Air Corporation,Nauru
RNA,RA,Nepal Airlines,Nepal
EJA,1I,NetJets,United States
NEA,EJ,New England Airlines,United States
NTJ,2N,NextJet,Sweden
NLY,HG,Niki,Austria
NOK,DD,Nok Air,Thailand
NCF,,Norfolk County Flight College,United Kingdom
NTM,,North American Airlines,Canada
HMR,,North American Charters,Canada
NWA,NW,Northwest Airlines,United States
PLR,J3,Northwestern Air,Canada
NAX,DY,Norwegian Air Shuttle,Norway
TFN,,Norwegian Aviation College,Norway
LBT,BJ,Nouvel Air Tunisie,Tunisia
NVR,1I,Novair,Sweden
KNE,XY,Nas Air,Saudi Arabia
OHK,O8,Oasis Hong Kong Airlines,Hong Kong
BCN,,Ocean Air,Mauritania
ONE,O6,Oceanair,Brazil
OAL,OA,Olympic Airlines,Greece
OMA,WY,Oman Air,Oman
OAE,OY,Omni Air International,United States
OTG,,One Two Go Airlines,Thailand
OHY,8Q,Onur Air,Turkey
ORB,R2,Orenburg Airlines,Russia
OEA,OX,Orient Thai Airlines,Thailand
OGN,QO,Origin Pacific Airways,New Zealand
OLT,OL,Ostfriesische Lufttransport,Germany
OLA,OJ,Overland Airways,Nigeria
OZJ,O7,Ozjet Airlines,Australia
PNR,PV,PAN Air,Spain
PBA,9Q,PB Air,Thailand
PUA,PU,PLUNA,Uruguay
PMT,U4,PMTair,Cambodia
PIC,BL,Jetstar Pacific,Vietnam
PCO,8P,Pacific Coastal Airline,Canada
PEC,Q8,Pacific East Asia Cargo Airlines,Philippines
PSA,,Pacific Island Aviation,United States
NMI,LW,Pacific Wings,United States
PIA,PK,Pakistan International Airlines,Pakistan
PMW,I7,Paramount Airways,India
PTB,,Passaredo Transportes Aereos,Brazil
PGT,PC,Pegasus Airlines,Turkey
PEN,KS,Peninsula Airways,United States
PAL,PR,Philippine Airlines,Philippines
PDT,PI,Piedmont Airlines (1948-1989),United States
FLG,9E,Pinnacle Airlines,United States
POT,,Polet,Russia
PAO,PH,Polynesian Airlines,Samoa
POE,PD,Porter Airlines,Canada
PGA,NI,Portugalia,Portugal
PDC,BK,Potomac Air,United States
PRF,PW,Precision Air,Tanzania
PTI,,Privatair,Switzerland
QFA,QF,Qantas,Australia
QTR,QR,Qatar Airways,Qatar
KIN,,Kinloss Flying Training Unit,United Kingdom
RXA,ZL,Regional Express,Australia
RPA,RW,Republic Airlines,United States
RPH,RH,Republic Express Airlines,Indonesia
RAR,GZ,Air Rarotonga,Cook Islands
RAM,AT,Royal Air Maroc,Morocco
RBA,BI,Royal Brunei Airlines,Brunei
RJA,RJ,Royal Jordanian,Jordan
RNA,RA,Royal Nepal Airlines,Nepal
PPW,,Royal Phnom Penh Airways,Cambodia
RLU,,Rusline,Russia
RWD,WB,Rwandair Express,Rwanda
RYA,,Ryan Air Services,United States
RYN,RD,Ryan International Airlines,United States
RYR,FR,Ryanair,Ireland
RAE,YS,Régional,France
RZO,S4,SATA International,Portugal
SAA,SA,South African Airways,South Africa
SAI,NL,Shaheen Air International,Pakistan
SAS,SK,Scandinavian Airlines System,Sweden
SAY,,ScotAirways,United Kingdom
SBI,S7,S7 Airlines,Russia
SBS,BB,Seaborne Airlines,United States
SCE,,Scenic Airlines,United States
ALK,UL,SriLankan Airlines,Sri Lanka
SCX,SY,Sun Country Airlines,United States
SEA,,Southeast Air,United States
SEH,G3,Sky Express,Greece
SEJ,SG,Spicejet,India
SFJ,7G,Star Flyer,Japan
SGY,N5,Skagway Air Service,United States
SHD,,Sahara Airlines,Algeria
SAT,SP,SATA Air Acores,Portugal
SIA,SQ,Singapore Airlines,Singapore
SIB,5M,Sibaviatrans,Russia
SIH,SI,Skynet Airlines,Ireland
SJY,SJ,Sriwijaya Air,Indonesia
SMY,ZS,Sama Airlines,Saudi Arabia
SQC,SQ,Singapore Airlines Cargo,Singapore
SRH,FT,Siem Reap Airways,Cambodia
SRQ,DG,South East Asian Airlines,Philippines
SSV,5G,Skyservice Airlines,Canada
STU,FS,Servicios de Transportes A,Argentina
SUD,SD,Sudan Airways,Sudan
SVA,SV,Saudi Arabian Airlines,Saudi Arabia
SWA,WN,Southwest Airlines,United States
SWD,A4,Southern Winds Airlines,Argentina
SWR,LX,Swiss International Air Lines,Switzerland
SWR,SR,Swissair,Switzerland
SWU,,Swiss European Air Lines,Switzerland
SWV,WV,Swe Fly,Sweden
SXS,XQ,SunExpress,Turkey
SYR,RB,Syrian Arab Airlines,Syrian Arab Republic
SYX,AL,Skywalk Airlines,United States
CDG,SC,Shandong Airlines,China
CNO,,SAS Braathens,Norway
CQH,9S,Spring Airlines,China
CSC,3U,Sichuan Airlines,China
CSH,FM,Shanghai Airlines,China
CSZ,ZH,Shenzhen Airlines,China
ERO,7L,Sun D'Or,Israel
ESK,NE,SkyEurope,Slovakia
HSK,,Sky Europe Airlines,Slovakia
JKK,JK,Spanair,Spain
NKS,NK,Spirit Airlines,United States
NSE,9R,SATENA,Colombia
OZW,,Skywest Airlines,Australia
BBR,S3,Santa Barbara Airlines,Venezuela
SKU,H2,Sky Airline,Chile
SKW,OO,SkyWest,United States
SKX,JZ,Skyways Express,Sweden
SKY,BC,Skymark Airlines,Japan
SLK,MI,SilkAir,Singapore
SLM,PY,Surinam Airways,Suriname
SNB,NB,Sterling Airlines,Denmark
SNJ,6J,Skynet Asia Airways,Japan
SOL,IE,Solomon Airlines,Solomon Islands
SOU,,Southern Airways,United States
SOV,6W,Saratov Aviation Division,Russia
SOZ,HZ,Sat Airlines,Kazakhstan
SPI,,South Pacific Island Airways,United States
TCF,S5,Shuttle America,United States
VSV,DV,Scat Air,Kazakhstan
TAE,EQ,TAME,Ecuador
TAM,JJ,TAM Brazilian Airlines,Brazil
TAP,TP,TAP Portugal,Portugal
TAR,TU,Tunisair,Tunisia
TCG,T2,Thai Air Cargo,Thailand
TCW,FQ,Thomas Cook Airlines,Belgium
TCX,MT,Thomas Cook Airlines,United Kingdom
TGN,,Trigana Air Service,Indonesia
TGW,TR,Tiger Airways,Singapore
TGW,TT,Tiger Airways Australia,Australia
THA,TG,Thai Airways International,Thailand
THK,,Turk Hava Kurumu Hava Taksi Isletmesi,Turkey
AIQ,FD,Thai AirAsia,Thailand
THY,TK,Turkish Airlines,Turkey
TIL,,Tajikistan International Airlines,Tajikistan
TJT,T7,Twin Jet,France
TLA,,Translift Airways,Ireland
TMA,TL,Trans Mediterranean Airlines,Lebanon
TNM,3P,Tiara Air,Aruba
TOM,BY,Thomsonfly,United Kingdom
TOS,PM,Tropic Air,Belize
TPA,QT,TAMPA,Colombia
TNA,GE,TransAsia Airways,Taiwan
TRA,HV,Transavia Holland,Netherlands
TCV,VR,TACV,Portugal
ABS,9T,Transwest Air,Canada
TSO,UN,Transaero Airlines,Russia
TUA,T5,Turkmenistan Airlines,Turkmenistan
TUI,UG,Tuninter,Tunisia
TVS,QS,Travel Service,Czech Republic
BLX,6B,TUIfly Nordic,Sweden
DTA,DT,TAAG Angola Airlines,Angola
HVK,,Turkish Air Force,Turkey
LAP,PZ,TAM Mercosur,Paraguay
LOF,AX,Trans States Airlines,United States
ROT,RO,Tarom,Romania
URN,3T,Turan Air,Azerbaijan
TIB,8R,TRIP Linhas A,Brazil
GWY,U5,USA3000 Airlines,United States
UAL,UA,United Airlines,United States
UAC,,United Air Charters,Zimbabwe
SVR,U6,Ural Airlines,Russia
UKM,UF,UM Airlines,Ukraine
USA,US,US Airways,United States
USH,,US Helicopter,United States
UTA,UT,UTair Aviation,Russia
AIO,,United States Air Force,United States
UZB,HY,Uzbekistan Airways,Uzbekistan
AUI,PS,Ukraine International Airlines,Ukraine
VLU,VF,Valuair,Singapore
VFC,,Vasco Air,Vietnam
HVN,VN,Vietnam Airlines,Vietnam
MOV,NN,VIM Airlines,Russia
VOI,Y4,Volaris,Mexico
VDA,VI,Volga-Dnepr Airlines,Russia
VRD,VX,Virgin America,United States
VEX,TV,Virgin Express,Belgium
VGN,VK,Virgin Nigeria Airways,Nigeria
VIR,VS,Virgin Atlantic Airways,United Kingdom
VVM,ZG,Viva Macau,Macao
VLE,VE,Volare Airlines,Italy
VLG,VY,Vueling Airlines,Spain
VLK,XF,Vladivostok Air,Russia
VLO,LC,Varig Log,Brazil
VOZ,VA,Virgin Australia,Australia
VRN,RG,VRG Linhas Aereas,Brazil
VSP,VP,VASP,Brazil
VLM,VG,VLM Airlines,Belgium
WEB,WJ,WebJet Linhas A,Brazil
WLC,2W,Welcome Air,Austria
WJA,WS,WestJet,Canada
WAL,WA,Western Airlines,United States
WIF,WF,Widerøe,Norway
JET,IV,Wind Jet,Italy
WON,IW,Wings Air,Indonesia
WZZ,W6,Wizz Air,Hungary
WVL,8Z,Wizz Air Hungary,Bulgaria
WOA,WO,World Airways,United States
SEU,SE,XL Airways France,France
CXA,MF,Xiamen Airlines,China
LLM,YL,Yamal Airlines,Russia
IYE,IY,Yemenia,Yemen
UMK,,Yuzhmashavia,Ukraine
TAN,,Zanair,Tanzania
OOM,Z4,Zoom Airlines,Canada
TYR,\N,Tyrolean Airways,\N
SXR,XW,Sky Express,Russia
RAC,VJ,Royal Air Cambodge,Cambodia
ABL,BX,Air Busan,Republic of Korea
GLP,GH,Globus,Russia
KZK,9Y,Air Kazakhstan,Kazakhstan
JAS,JD,Japan Air System,Japan
UBD,4H,United Airways,Bangladesh
FFV,5H,Fly540,Kenya
TVF,TO,Transavia France,France
MKU,WP,Island Air (WP),United States
UIA,B7,Uni Air,Taiwan
RWZ,WZ,Red Wings,Russia
FXX,FU,Felix Airways,Yemen
KOQ,K1,Kostromskie avialinii,Russia
GFY,XX,Greenfly,Spain
ELK,--,ELK Airways,Estonia
